Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
1,2015-16,Pac-12,16,4,0.8,19.26,4.36,81.9,67,12,7,,,Sean Miller (16-4)
2,2014-15* RT,Pac-12,34,4,0.895,24.33,7.41,76.6,59.7,2,2,5,Lost Regional Final,Sean Miller (34-4)
3,2013-14* R,Pac-12,33,5,0.868,23.36,9.04,72.9,58.6,6,1,4,Lost Regional Final,Sean Miller (33-5)
4,2012-13*,Pac-12,27,8,0.771,17.3,7.47,73.4,63.6,12,3,21,Lost Regional Semifinal,Sean Miller (27-8)
5,2011-12,Pac-12,23,12,0.657,10.91,4.62,69,62.7,16,15,,,Sean Miller (23-12)
6,2010-11* R,Pac-10,30,8,0.789,16.54,7.99,76.4,67.9,,10,17,Lost Regional Final,Sean Miller (30-8)
7,2009-10,Pac-10,16,15,0.516,7.97,8.1,71.9,72,,,,,Sean Miller (16-15)
8,2008-09*,Pac-10,21,14,0.6,11.88,8.8,72.3,69.2,,,,Lost Regional Semifinal,Russ Pennell (21-14)
9,2007-08*,Pac-10,19,15,0.559,14.55,10.22,71.9,71.9,17,17,,Lost First Round,Kevin O'Neill (19-15)
10,2006-07*,Pac-10,20,11,0.645,16.24,10.76,78,72.5,10,7,,Lost First Round,Lute Olson (20-11)
11,2005-06*,Pac-10,20,13,0.606,15.12,10.09,73.7,68.7,10,9,,Lost Second Round,Lute Olson (20-13)
12,2004-05* R,Pac-10,30,7,0.811,18,8.03,79.7,69.7,10,8,9,Lost Regional Final,Lute Olson (30-7)
13,2003-04*,Pac-10,20,10,0.667,15.3,6.63,87.1,78.5,4,3,22,Lost First Round,Lute Olson (20-10)
14,2002-03* R,Pac-10,28,4,0.875,23.42,8.95,85.2,70.7,1,1,2,Lost Regional Final,Lute Olson (28-4)
15,2001-02* T,Pac-10,24,10,0.706,16.93,12.49,82.1,77.7,,4,7,Lost Regional Semifinal,Lute Olson (24-10)
16,2000-01* F,Pac-10,28,8,0.778,26.84,12.56,81.3,66.3,1,1,5,Lost National Final,Jim Rosborough (3-2)Lute Olson (25-6)
17,1999-00* R,Pac-10,27,7,0.794,18.97,9.7,76.4,67.2,9,2,4,Lost Second Round,Lute Olson (27-7)
18,1998-99*,Pac-10,22,7,0.759,15.28,8.31,82.2,75.2,18,6,12,Lost First Round,Lute Olson (22-7)
19,1997-98* R,Pac-10,30,5,0.857,24.58,8.38,90.8,74.6,1,1,4,Lost Regional Final,Lute Olson (30-5)
20,1996-97* FN,Pac-10,25,9,0.735,21.6,10.98,83.9,73.3,19,6,15,Won National Final,Lute Olson (25-9)
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
