Rk,Season,Conf,W,L,W-L%,SRS,SOS,OFF,DEF,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
1,2015-16,Pac-12,12,9,0.571,11.76,7.67,76.2,72.1,,,,,Bobby Hurley (12-9)
2,2014-15,Pac-12,18,16,0.529,9.52,6.66,69.4,66.6,,,,,Herb Sendek (18-16)
3,2013-14,Pac-12,21,12,0.636,13.32,7.41,75.3,69.4,,,,Lost Second Round,Herb Sendek (21-12)
4,2012-13,Pac-12,22,13,0.629,8.86,4.6,71.8,67.5,,,,,Herb Sendek (22-13)
5,2011-12,Pac-12,10,21,0.323,-1.01,4.31,61,66.3,,,,,Herb Sendek (10-21)
6,2010-11,Pac-10,12,19,0.387,4.3,7.2,64,66.9,,,,,Herb Sendek (12-19)
7,2009-10,Pac-10,22,11,0.667,13.8,5.83,66.7,58.7,,,,,Herb Sendek (22-11)
8,2008-09,Pac-10,25,10,0.714,16.7,7.82,69.4,60.5,15,14,19,Lost Second Round,Herb Sendek (25-10)
9,2007-08,Pac-10,21,13,0.618,10.31,6.28,66.8,61.9,,22,,,Herb Sendek (21-13)
10,2006-07,Pac-10,8,22,0.267,3.31,7.95,58.5,61.8,,,,,Herb Sendek (8-22)
11,2005-06,Pac-10,11,17,0.393,4.36,7.18,67.1,69.9,,,,,Rob Evans (11-17)
12,2004-05,Pac-10,18,14,0.563,9.21,5.36,76,72.2,,,,,Rob Evans (18-14)
13,2003-04,Pac-10,10,17,0.37,2.83,5.35,74.1,76.6,,,,,Rob Evans (10-17)
14,2002-03,Pac-10,20,12,0.625,15.01,9.27,77,70.5,,,,Lost Second Round,Rob Evans (20-12)
15,2001-02,Pac-10,14,15,0.483,9.79,6.79,76.9,73.9,,,,,Rob Evans (14-15)
16,2000-01,Pac-10,13,16,0.448,11.09,8.99,73.1,71,,,,,Rob Evans (13-16)
17,1999-00,Pac-10,19,13,0.594,12.11,8.75,79.3,74.8,,,,,Rob Evans (19-13)
18,1998-99,Pac-10,14,16,0.467,9.04,8.25,74.5,72.2,,,,,Rob Evans (14-16)
19,1997-98,Pac-10,18,14,0.563,7.94,8,84.5,84,,,,,Don Newman (18-14)
20,1996-97,Pac-10,10,20,0.333,2.08,7.04,72.7,74.4,,,,,Bill Frieder (10-20)
21,1995-96,Pac-10,11,16,0.407,1.55,5.89,73.3,78.3,,,,,Bill Frieder (11-16)
22,1994-95,Pac-10,24,9,0.727,16.75,9.06,78.3,,,12,16,Lost Regional Semifinal,Bill Frieder (24-9)
23,1993-94,Pac-10,15,13,0.536,9.55,7.8,,,,,,,Bill Frieder (15-13)
24,1992-93,Pac-10,18,10,0.643,9.23,6.97,,,,,,,Bill Frieder (18-10)
25,1991-92,Pac-10,19,14,0.576,6.94,7.64,,,24,24,,,Bill Frieder (19-14)
26,1990-91,Pac-10,20,10,0.667,14.26,8.93,,,,,,Lost Second Round,Bill Frieder (20-10)
27,1989-90,Pac-10,15,16,0.484,5.04,7.01,,,,,,,Bill Frieder (15-16)
28,1988-89,Pac-10,12,16,0.429,3.01,6.83,,,,,,,Bob Schermerhorn (2-7)Steve Patterson (10-9)
29,1987-88,Pac-10,13,16,0.448,3.8,6.26,,,,,,,Steve Patterson (13-16)
30,1986-87,Pac-10,11,17,0.393,4.58,5.62,,,,,,,Steve Patterson (11-17)
31,1985-86,Pac-10,14,14,0.5,1.67,5.03,,,,,,,Steve Patterson (14-14)
32,1984-85,Pac-10,12,16,0.429,1.8,5.88,,,,,,,Bob Weinhauer (12-16)
33,1983-84,Pac-10,13,15,0.464,2.61,2.18,,,,,,,Bob Weinhauer (13-15)
34,1982-83,Pac-10,19,14,0.576,6.93,5.08,,,,,,,Bob Weinhauer (19-14)
35,1981-82,Pac-10,13,14,0.481,6.35,6.08,,,,,,,Ned Wulk (13-14)
36,1980-81,Pac-10,24,4,0.857,16.64,6.48,,,,3,3,Lost Second Round,Ned Wulk (24-4)
37,1979-80,Pac-10,22,7,0.759,12.47,5.15,,,,15,18,Lost Second Round,Ned Wulk (22-7)
38,1978-79,Pac-10,16,14,0.533,7.97,5.46,,,,,,,Ned Wulk (16-14)
39,1977-78,WAC,13,14,0.481,5.56,6.56,,,,,,,Ned Wulk (13-14)
40,1976-77,WAC,15,13,0.536,7.66,4.59,,,,,,,Ned Wulk (15-13)
41,1975-76,WAC,16,11,0.593,5.42,3.11,,,18,18,,,Ned Wulk (16-11)
42,1974-75,WAC,25,4,0.862,16.49,6.81,,,,7,8,Lost Regional Final,Ned Wulk (25-4)
43,1973-74,WAC,18,9,0.667,10.58,3.91,,,,20,,,Ned Wulk (18-9)
44,1972-73,WAC,19,9,0.679,10.79,3.9,,,,16,16,Lost Regional Semifinal,Ned Wulk (19-9)
45,1971-72,WAC,18,8,0.692,9.25,4.33,,,,17,,,Ned Wulk (18-8)
46,1970-71,WAC,16,10,0.615,8.97,4.26,,,,,,,Ned Wulk (16-10)
47,1969-70,WAC,4,22,0.154,-5.11,3.25,,,,,,,Ned Wulk (4-22)
48,1968-69,WAC,11,15,0.423,1.73,4.65,,,,,,,Ned Wulk (11-15)
49,1967-68,WAC,11,17,0.393,-2.88,2.85,,,,,,,Ned Wulk (11-17)
50,1966-67,WAC,5,21,0.192,-10.64,2.61,,,,,,,Ned Wulk (5-21)
51,1965-66,WAC,12,14,0.462,1.42,7.42,,,,,,,Ned Wulk (12-14)
52,1964-65,WAC,13,14,0.481,3.37,4.95,,,,,,,Ned Wulk (13-14)
53,1963-64,WAC,16,11,0.593,9.92,7.31,,,6,4,,Lost First Round,Ned Wulk (16-11)
54,1962-63,WAC,26,3,0.897,12.4,3.66,,,,3,4,Lost Regional Final,Ned Wulk (26-3)
55,1961-62,BIAA,23,4,0.852,12.31,-4.31,,,,10,,Lost First Round,Ned Wulk (23-4)
56,1960-61,BIAA,23,6,0.793,5.12,-3.19,,,,,,Lost Regional Final,Ned Wulk (23-6)
57,1959-60,BIAA,16,7,0.696,-2.56,-7.36,,,,,,,Ned Wulk (16-7)
58,1958-59,BIAA,17,9,0.654,-3.57,-7.51,,,,,,,Ned Wulk (17-9)
59,1957-58,BIAA,13,13,0.5,-6.38,-9.07,,,,,,Lost First Round,Ned Wulk (13-13)
60,1956-57,BIAA,10,15,0.4,-11.08,-5.28,,,,,,,Bill Kajikawa (10-15)
61,1955-56,BIAA,11,15,0.423,-13.18,-6.18,,,,,,,Bill Kajikawa (11-15)
62,1954-55,BIAA,10,14,0.417,-8.5,-5.56,,,,,,,Bill Kajikawa (10-14)
63,1953-54,BIAA,5,18,0.217,-19.1,-7.15,,,,,,,Bill Kajikawa (5-18)
64,1952-53,BIAA,12,7,0.632,-8.93,-14.07,,,,,,,Bill Kajikawa (12-7)
65,1951-52,BIAA,8,16,0.333,-11.46,-6.86,,,,,,,Bill Kajikawa (8-16)
66,1950-51,BIAA,9,16,0.36,-13.5,-6.87,,,,,,,Bill Kajikawa (9-16)
67,1949-50,BIAA,12,14,0.462,,,,,,,,,Bill Kajikawa (12-14)
68,1948-49,BIAA,12,17,0.414,,,,,,,,,Bill Kajikawa (12-17)
69,1947-48,BIAA,13,11,0.542,,,,,,,,,Rudy Lavik (13-11)
70,1946-47,BIAA,7,13,0.35,,,,,,,,,Rudy Lavik (7-13)
71,1945-46,BIAA,12,16,0.429,,,,,,,,,Rudy Lavik (12-16)
72,1944-45,BIAA,5,9,0.357,,,,,,,,,Rudy Lavik (5-9)
73,1943-44,BIAA,12,2,0.857,,,,,,,,,Rudy Lavik (12-2)
74,1942-43,BIAA,10,9,0.526,,,,,,,,,Rudy Lavik (10-9)
75,1941-42,BIAA,10,10,0.5,,,,,,,,,Rudy Lavik (10-10)
76,1940-41,Ind,8,11,0.421,,,,,,,,,Rudy Lavik (8-11)
77,1939-40,BIAA,8,13,0.381,,,,,,,,,Rudy Lavik (8-13)
78,1938-39,BIAA,13,13,0.5,,,,,,,,,Earl Pomeroy (13-13)
79,1937-38,BIAA,11,12,0.478,,,,,,,,,Earl Pomeroy (11-12)
80,1936-37,BIAA,8,12,0.4,,,,,,,,,Earl Pomeroy (8-12)
81,1935-36,BIAA,12,14,0.462,,,,,,,,,Earl Pomeroy (12-14)
