
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
1,2015-16,ACC,15,5,.750,21.06,6.11,85.7,70.8,5,5,,,Mike Krzyzewski (15-5)
2,2014-15* FN,ACC,35,4,.897,24.97,9.87,79.3,64.2,4,2,4,Won National Final,Mike Krzyzewski (35-4)
3,2013-14*,ACC,26,9,.743,19.51,8.48,78.4,67.4,4,4,8,Lost Second Round,Mike Krzyzewski (26-9)
4,2012-13*,ACC,30,6,.833,21.43,9.54,77.2,65.3,8,1,6,Lost Regional Final,Mike Krzyzewski (30-6)
5,2011-12*,ACC,27,7,.794,17.05,8.40,77.3,68.6,6,3,8,Lost Second Round,Mike Krzyzewski (27-7)
6,2010-11* T,ACC,32,5,.865,24.51,8.32,80.9,64.7,1,1,3,Lost Regional Semifinal,Mike Krzyzewski (32-5)
7,2009-10* RTFN,ACC,35,5,.875,25.21,9.21,77.0,61.0,9,3,3,Won National Final,Mike Krzyzewski (35-5)
8,2008-09* T,ACC,30,7,.811,20.10,9.07,77.5,65.9,8,1,6,Lost Regional Semifinal,Mike Krzyzewski (30-7)
9,2007-08*,ACC,28,6,.824,21.52,9.28,83.2,69.4,13,2,9,Lost Second Round,Mike Krzyzewski (28-6)
10,2006-07*,ACC,22,11,.667,18.85,10.49,70.4,62.0,12,5,,Lost First Round,Mike Krzyzewski (22-11)
11,2005-06* RT,ACC,32,4,.889,21.77,8.77,81.1,68.1,1,1,1,Lost Regional Semifinal,Mike Krzyzewski (32-4)
12,2004-05* T,ACC,27,6,.818,23.01,10.04,78.2,65.2,11,2,3,Lost Regional Semifinal,Mike Krzyzewski (27-6)
13,2003-04* RF,ACC,31,6,.838,25.67,10.86,79.8,65.0,2,1,6,Lost National Semifinal,Mike Krzyzewski (31-6)
14,2002-03* T,ACC,26,7,.788,19.86,8.38,81.1,69.6,6,1,7,Lost Regional Semifinal,Mike Krzyzewski (26-7)
15,2001-02* T,ACC,31,4,.886,28.91,9.16,88.9,69.2,1,1,1,Lost Regional Semifinal,Mike Krzyzewski (31-4)
16,2000-01* RTFN,ACC,35,4,.897,32.18,11.98,90.7,70.5,2,1,1,Won National Final,Mike Krzyzewski (35-4)
17,1999-00* RT,ACC,29,5,.853,25.55,8.88,88.0,71.3,10,1,1,Lost Regional Semifinal,Mike Krzyzewski (29-5)
18,1998-99* RTF,ACC,37,2,.949,34.80,10.14,91.8,67.2,1,1,1,Lost National Final,Mike Krzyzewski (37-2)
19,1997-98* R,ACC,32,4,.889,29.56,9.33,85.6,64.1,3,1,3,Lost Regional Final,Mike Krzyzewski (32-4)
20,1996-97* R,ACC,24,9,.727,22.72,9.27,79.7,66.2,10,6,8,Lost Second Round,Mike Krzyzewski (24-9)
Rk,Season,Conf,W,L,W-L%,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Coach(es)
21,1995-96*,ACC,18,13,.581,16.06,10.48,75.4,69.8,,12,,Lost First Round,Mike Krzyzewski (18-13)
22,1994-95,ACC,13,18,.419,15.95,11.89,77.7,,8,6,,,Mike Krzyzewski (9-3)Pete Gaudet (4-15)
23,1993-94* RF,ACC,28,6,.824,19.21,8.92,,,4,1,6,Lost National Final,Mike Krzyzewski (28-6)
24,1992-93*,ACC,24,8,.750,25.98,10.76,,,3,1,10,Lost Second Round,Mike Krzyzewski (24-8)
25,1991-92* RTFN,ACC,34,2,.944,24.68,10.18,,,1,1,1,Won National Final,Mike Krzyzewski (34-2)
26,1990-91* RFN,ACC,32,7,.821,24.90,10.62,,,6,5,6,Won National Final,Mike Krzyzewski (32-7)
27,1989-90* F,ACC,29,9,.763,21.34,8.81,,,10,3,15,Lost National Final,Mike Krzyzewski (29-9)
28,1988-89* F,ACC,28,8,.778,24.94,8.19,,,1,1,9,Lost National Semifinal,Mike Krzyzewski (28-8)
