Year,Schl,Rk.,,Opp,Rk.,Outcome,OFF,DEF,MOV,OT
2015-16,Arizona,8,@,Arizona State,,W,94,82,12,
2014-15,Arizona,6,@,Arizona State,,L,78,81,-3,
2014-15,Arizona,8,,Arizona State,,W,73,49,24,
2013-14,Arizona,2,@,Arizona State,,L,66,69,-3,2
2013-14,Arizona,1,,Arizona State,,W,91,68,23,
2012-13,Arizona,18,,Arizona State,,W,73,58,15,
2012-13,Arizona,7,@,Arizona State,,W,71,54,17,
2011-12,Arizona,,@,Arizona State,,L,80,87,-7,
2011-12,Arizona,,,Arizona State,,W,68,51,17,
2010-11,Arizona,15,@,Arizona State,,W,67,52,15,
2010-11,Arizona,,,Arizona State,,W,80,69,11,
2009-10,Arizona,,,Arizona State,,L,69,73,-4,
2009-10,Arizona,,@,Arizona State,,W,77,58,19,
2008-09,Arizona,,,Arizona State,23,L,56,68,-12,
2008-09,Arizona,,@,Arizona State,14,L,68,70,-2,
2008-09,Arizona,,,Arizona State,17,L,47,53,-6,
2007-08,Arizona,,,Arizona State,,L,54,59,-5,
2007-08,Arizona,,@,Arizona State,,L,59,64,-5,1
2006-07,Arizona,,@,Arizona State,,W,61,58,3,
2006-07,Arizona,17,,Arizona State,,W,71,47,24,
2005-06,Arizona,,,Arizona State,,W,68,47,21,
2005-06,Arizona,,@,Arizona State,,W,80,70,10,
2004-05,Arizona,11,@,Arizona State,,W,70,68,2,
2004-05,Arizona,14,,Arizona State,,W,97,79,18,
2003-04,Arizona,22,,Arizona State,,W,106,81,25,
2003-04,Arizona,4,@,Arizona State,,W,93,74,19,
2002-03,Arizona,1,@,Arizona State,,W,92,72,20,
2002-03,Arizona,1,,Arizona State,,W,71,63,8,
2001-02,Arizona,15,,Arizona State,,W,73,56,17,
2001-02,Arizona,14,,Arizona State,,W,83,75,8,
2001-02,Arizona,10,@,Arizona State,,L,72,88,-16,
2000-01,Arizona,8,@,Arizona State,,W,88,58,30,
2000-01,Arizona,12,,Arizona State,,W,86,75,11,
1999-00,Arizona,4,,Arizona State,,W,89,82,7,
1999-00,Arizona,5,@,Arizona State,,W,82,55,27,
1998-99,Arizona,10,,Arizona State,,W,86,80,6,
1998-99,Arizona,7,@,Arizona State,,W,74,73,1,
1997-98,Arizona,3,@,Arizona State,,W,83,82,1,
1997-98,Arizona,5,,Arizona State,,W,127,99,28,
1996-97,Arizona,14,,Arizona State,,W,87,71,16,
1996-97,Arizona,7,@,Arizona State,,W,92,84,8,
1995-96,Arizona,16,@,Arizona State,,W,71,69,2,
1995-96,Arizona,18,,Arizona State,,W,108,76,32,
1994-95,Arizona,12,,Arizona State,18,L,98,103,-5,
1994-95,Arizona,9,@,Arizona State,15,L,52,53,-1,
1993-94,Arizona,7,@,Arizona State,,L,87,94,-7,
1993-94,Arizona,9,,Arizona State,,W,98,81,17,
1992-93,Arizona,4,,Arizona State,,W,116,80,36,
1992-93,Arizona,11,@,Arizona State,,W,91,87,4,
1991-92,Arizona,5,@,Arizona State,,L,74,77,-3,
1991-92,Arizona,11,,Arizona State,,W,92,55,37,
1990-91,Arizona,6,,Arizona State,,W,71,50,21,
1990-91,Arizona,6,@,Arizona State,,W,74,71,3,
1989-90,Arizona,20,,Arizona State,,W,71,50,21,
1989-90,Arizona,23,@,Arizona State,,W,70,61,9,
1988-89,Arizona,2,,Arizona State,,W,109,74,35,
1988-89,Arizona,6,@,Arizona State,,W,96,71,25,
1987-88,Arizona,3,@,Arizona State,,W,101,73,28,
1987-88,Arizona,1,,Arizona State,,W,99,59,40,
1986-87,Arizona,,,Arizona State,,W,66,54,12,
1986-87,Arizona,,@,Arizona State,,W,82,67,15,
1985-86,Arizona,,@,Arizona State,,L,63,70,-7,
1985-86,Arizona,,,Arizona State,,W,62,53,9,
1984-85,Arizona,,,Arizona State,,W,68,48,20,
1984-85,Arizona,,@,Arizona State,,W,61,60,1,
1983-84,Arizona,,@,Arizona State,,W,65,64,1,
1983-84,Arizona,,,Arizona State,,W,71,49,22,
1982-83,Arizona,,,Arizona State,,L,70,77,-7,
1982-83,Arizona,,@,Arizona State,,L,69,82,-13,
1981-82,Arizona,,@,Arizona State,,L,56,82,-26,
1981-82,Arizona,,,Arizona State,,L,54,55,-1,
1980-81,Arizona,,,Arizona State,7,L,66,71,-5,
1980-81,Arizona,,@,Arizona State,7,L,65,83,-18,
1979-80,Arizona,,@,Arizona State,18,L,72,78,-6,
1979-80,Arizona,,,Arizona State,,L,72,97,-25,
1979-80,Arizona,,@,Arizona State,,L,78,85,-7,
1978-79,Arizona,,,Arizona State,,W,85,80,5,
1978-79,Arizona,,@,Arizona State,,L,68,76,-8,
1978-79,Arizona,,,Arizona State,,L,82,84,-2,
1977-78,Arizona,,,Arizona State,,W,88,75,13,
1977-78,Arizona,,@,Arizona State,,L,64,69,-5,
1977-78,Arizona,,@,Arizona State,,W,72,70,2,
1976-77,Arizona,17,@,Arizona State,,L,89,95,-6,
1976-77,Arizona,19,,Arizona State,,W,99,83,16,
1976-77,Arizona,10,,Arizona State,,W,92,91,1,
1975-76,Arizona,,,Arizona State,,W,77,72,5,
1975-76,Arizona,,@,Arizona State,,L,63,67,-4,
1974-75,Arizona,19,@,Arizona State,9,L,92,107,-15,
1974-75,Arizona,15,,Arizona State,12,L,81,83,-2,
1973-74,Arizona,18,@,Arizona State,,L,95,108,-13,
1973-74,Arizona,,,Arizona State,,W,98,90,8,
1972-73,Arizona,,,Arizona State,,L,105,110,-5,
1972-73,Arizona,,@,Arizona State,,L,60,63,-3,
1971-72,Arizona,,@,Arizona State,,L,75,83,-8,
1971-72,Arizona,,,Arizona State,,L,78,91,-13,
1970-71,Arizona,,,Arizona State,,L,83,95,-12,
1970-71,Arizona,,@,Arizona State,,L,83,112,-29,
1969-70,Arizona,,@,Arizona State,,W,90,89,1,
1969-70,Arizona,,,Arizona State,,W,97,75,22,
1968-69,Arizona,,,Arizona State,,W,90,73,17,
