Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Mike Aaman,[],,,7.8,5.7,0.4,18.9,2.8,0.6,2.4,0.0,6.3,3.0,0.637,0.5,1.2,,,3.0,0.0,0.0,1.8,,,0.475,,
Shaqquan Aaron,[],,,5.2,2.2,0.8,14.9,1.4,0.1,0.9,0.314,4.8,1.0,0.719,0.3,0.8,,,1.7,2.3,0.7,1.0,,,0.358,,
Kwesi Abakah,[],,,1.0,1.4,0.3,7.9,0.7,0.2,1.1,0.0,0.9,0.4,0.439,0.1,0.3,,,0.4,0.0,0.0,0.3,,,0.422,,
Hasan Abdullah,[],,,6.3,2.1,2.5,20.8,1.3,0.1,2.0,0.379,5.8,0.9,0.61,1.5,2.0,,,2.1,3.3,1.3,0.8,,,0.365,,
Bilal Abdur-Rahim,[],,,4.8,2.7,0.9,12.9,1.9,0.1,2.1,0.375,3.5,1.6,0.548,0.4,0.9,,,1.8,0.5,0.2,1.1,,,0.5,,
Muhammad-Ali Abdur-Rahkman,[],,,7.1,2.3,1.5,24.7,1.5,0.1,1.7,0.351,6.0,1.9,0.74,0.7,0.9,,,2.6,2.2,0.8,1.1,,,0.434,,
Kale Abrahamson,[],,,6.2,2.4,0.6,18.5,1.5,0.1,1.4,0.341,5.4,0.9,0.623,0.3,0.8,,,2.0,3.4,1.2,1.0,,,0.373,,
DeAndre Abram,[],,,6.3,2.9,0.2,19.3,1.2,0.4,1.4,0.273,6.4,1.4,0.705,0.2,0.7,,,2.3,3.4,0.9,0.8,,,0.355,,
Aleks Abrams,[],,,1.4,3.0,0.1,9.8,0.8,0.3,1.6,0.0,1.3,0.4,0.676,0.1,0.3,,,0.4,0.0,0.0,0.5,,,0.322,,
Tracy Abrams,[],,,8.7,3.0,2.8,26.4,2.8,0.1,2.2,0.301,7.6,2.1,0.738,1.0,2.0,,,2.9,2.7,0.8,2.1,,,0.379,,
Tim Abruzzo,[],,,5.5,2.8,0.8,16.8,1.0,0.2,0.7,0.299,5.4,0.8,0.69,0.8,0.7,,,1.9,3.6,1.1,0.7,,,0.346,,
Abdul-Malik Abu,[],,,10.1,6.8,1.0,24.5,3.5,0.7,2.6,0.125,7.8,3.9,0.635,0.3,1.6,,,3.9,0.1,0.0,2.2,,,0.501,,
Mohamed Abuarisha,[],,,1.3,0.7,0.3,5.0,0.3,0.0,0.3,0.0,1.3,0.7,0.0,0.0,0.3,,,0.7,0.0,0.0,0.0,,,0.5,,
