Class,Conference,DPS,Minutes,OPA,Player Code,Player,School,TPA
SR,Big Ten,58.05,1064,143.32,"Dakota Mathias, Purdue",Dakota Mathias,Purdue,201.37
SR,OVC,-23.04,1126,126.71,"Jonathan Stark, Murray State",Jonathan Stark,Murray State,103.67
FR,ACC,122.32,895,98.49,"Wendell Carter Jr., Duke",Wendell Carter Jr.,Duke,220.81
SR,AAC,135.38,924,104.62,"Gary Clark, Cincinnati",Gary Clark,Cincinnati,240
FR,Pac-12,85.7,1134,138.28,"DeAndre Ayton, Arizona",DeAndre Ayton,Arizona,223.98
SR,ACC,47.28,1158,145.94,"Grayson Allen, Duke",Grayson Allen,Duke,193.22
FR,ACC,58.18,964,124.91,"Marvin Bagley III, Duke",Marvin Bagley III,Duke,183.09
FR,ACC,37.2,1103,103.76,"Gary Trent Jr., Duke",Gary Trent Jr.,Duke,140.96
JR,Big East,55.24,1009,123.38,"Khyri Thomas, Creighton",Khyri Thomas,Creighton,178.62
JR,Big East,37.3,928,76.22,"Paul Jorgensen, Butler",Paul Jorgensen,Butler,113.52
SO,ACC,45.93,375,30.62,"Javin DeLaurier, Duke",Javin DeLaurier,Duke,76.55
SO,SEC,102.26,525,30.87,"Anfernee McLemore, Auburn",Anfernee McLemore,Auburn,133.13
SO,ACC,42.22,335,17.84,"Marques Bolden, Duke",Marques Bolden,Duke,60.06
JR,AAC,107.2,1006,82.07,"Jacob Evans, Cincinnati",Jacob Evans,Cincinnati,189.27
FR,ACC,32.48,963,25.64,"Trevon Duval, Duke",Trevon Duval,Duke,58.12
SR,Big East,5.54,1011,103.32,"Marcus Foster, Creighton",Marcus Foster,Creighton,108.86
JR,Big East,51.74,746,31.31,"Ronnie Harrell, Creighton",Ronnie Harrell,Creighton,83.05
,ACC,12.11,359,30.59,"Alex O'Connell, Duke",Alex O'Connell,Duke,42.7
JR,Southland,54.8,927,-5.14,"T.J. Holyfield, Stephen F. Austin",T.J. Holyfield,Stephen F. Austin,49.66
SO,AAC,69.01,942,48.62,"Jarron Cumberland, Cincinnati",Jarron Cumberland,Cincinnati,117.63
SO,Big Ten,29.1,1004,133.52,"Carsen Edwards, Purdue",Carsen Edwards,Purdue,162.62
SO,Big East,33,441,43.46,"Martin Krampelj, Creighton",Martin Krampelj,Creighton,76.46
JR,ACC,35.29,885,86.62,"Terance Mann, Florida State",Terance Mann,Florida State,121.91
JR,Big Ten,84.65,1045,88.17,"Keita Bates-Diop, Ohio State",Keita Bates-Diop,Ohio State,172.82
SO,WCC,71.86,880,99.39,"Killian Tillie, Gonzaga",Killian Tillie,Gonzaga,171.25
SR,AAC,28.37,973,115.14,"Robert Gray Jr., Houston",Robert Gray Jr.,Houston,143.51
SO,ACC,15.44,150,1.86,"Jack White, Duke",Jack White,Duke,17.3
SO,A-10,39.52,1102,80.83,"Jon Axel Gudmundsson, Davidson",Jon Axel Gudmundsson,Davidson,120.35
JR,AAC,24.47,639,43.62,"Cane Broome, Cincinnati",Cane Broome,Cincinnati,68.09
