Player,Season,PlayerID,Age,Points,Rebounds,Assists,Minutes,FTA,Blocks,Fouls,3p,FGA,2p%,FG,ft%,Steals,Turnovers,All Star
Eric Moreland,2015-16,1,24,0.8,1.2,0,4.8,0.4,0.8,0.4,0,0.6,0.667,0.4,0,0,0,0
Kevon Looney,2015-16,2,19,2,2,0,6,0,0,1,0,1,1,1,0,0,0,0
Thanasis Antetokounmpo,2015-16,3,23,3,0.5,0,3,0,0,1,0,2,1,1.5,0,0,0,0
Cristiano Felicio,2015-16,4,23,0.6,0.2,0.6,2.6,0.4,0,0.4,0,0.4,1,0.2,0.5,0,0,0
Cory Jefferson,2015-16,5,25,2.8,2,0,6.3,0.8,0.1,1,0,2.8,0.429,1.1,0.667,0,0,0
Jordan Mickey,2015-16,6,21,2.3,1,0.3,2,1,0.3,0.3,0,1,0.667,0.7,1,0,0,0
Erick Green,2015-16,7,24,0.6,0.6,0.4,3.6,0,0,0.3,0,0.9,0.5,0.3,0,0,0,0
C.J. Wilcox,2015-16,8,25,0.8,0.3,0.3,2.9,0,0,0.1,0,1.5,0.273,0.4,0,0,0,0
Jarell Martin,2015-16,9,21,1,0,0,4.5,0,0,1,0,2.5,0.2,0.5,0,0,0,0
Branden Dawson,2015-16,10,22,1,1.5,0,6.5,0,0.5,1,0,1.5,0.333,0.5,0,0,0,0
Jarnell Stokes,2015-16,11,22,1,0.7,0.2,2.5,0,0,0,0,0.8,0.6,0.5,0,0,0,0
Steve Novak,2015-16,12,32,2.2,0.6,0,4.2,0,0,0.2,0.5,1.8,0.333,0.8,0,0,0,0
Sam Dekker,2015-16,13,21,0,0.3,0,2,0,0,0,0,0,0,0,0,0.3,0,0
Nate Robinson,2015-16,14,31,0,0,2,11.5,0,0,2.5,0,0.5,0,0,0,0.5,0,0
J.J. O'Brien,2015-16,15,23,0,0.5,0,3,0,0,0.5,0,0.5,0,0,0,0.5,0,0
Orlando Johnson,2015-16,16,26,7,1,0,19,2,0,2,1,5,0.25,2,1,1,0,0
Devyn Marble,2015-16,17,23,0.3,0.4,0,2.5,0.1,0,0.3,0,0.8,0.25,0.1,0,0.1,0.1,0
Cleanthony Early,2015-16,18,24,0.7,0.2,0.1,3.4,0,0.1,0.3,0.25,0.6,1,0.3,0,0.1,0.1,0
Reggie Bullock,2015-16,19,24,0.3,0.4,0.2,4.9,0.2,0,0.3,0.1,1.1,0,0.1,1,0.1,0.1,0
Jarell Eddie,2015-16,20,24,3,0.9,0.1,5.6,0.3,0.1,0.2,0.375,2.7,0.167,0.9,1,0.1,0.1,0
Cliff Alexander,2015-16,21,20,1.4,0.9,0,4.4,0,0.3,0,0,1.4,0.5,0.7,0,0.1,0.1,0
Joel Anthony,2015-16,22,33,0.7,1.2,0.1,4,0.5,0.3,0.6,0,0.4,0.4,0.2,0.833,0.2,0.1,0
Matt Bonner,2015-16,23,35,2.3,0.9,0.3,5.7,0.2,0,0.4,0.529,1.6,0.571,0.9,0.75,0.3,0.1,0
Christian Wood,2015-16,24,20,3.6,2.3,0.2,8.1,0.9,0.4,0.6,0.444,3.1,0.441,1.4,0.692,0.4,0.1,0
Joe Harris,2015-16,25,24,0.6,0.6,0.4,3,0,0,0.2,0.25,0.8,0,0.2,0,0,0.2,0
Luke Babbitt,2015-16,26,26,3.5,2.4,0.5,13.7,0.5,0.1,1.7,0.314,3.3,0.5,1.2,0.727,0,0.2,0
Elliot Williams,2015-16,27,26,1.6,0.8,0.8,9,0.8,0,0.4,0.25,2,0.167,0.4,0.75,0,0.2,0
