Player,Season,Age,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,FGM,ft%,Steals,Turnovers,EFG%,TS%,Games,3pa,Games Started
Alex Abrines,2016-17,23,5.6,1.2,0.5,14.4,0.9,0.1,1.5,0.377,4.6,0.442,1.8,0.865,0.5,0.6,0.53,0.567,40,3.3,0
Quincy Acy,2016-17,26,5.1,2,0.1,9.5,1.3,0.2,1.4,0.476,3.4,0.5,1.6,0.833,0.2,0.4,0.596,0.646,14,1.5,0
Steven Adams,2016-17,23,12.2,7.5,1.1,30.3,3.1,1.1,2.4,0,8.5,0.595,5,0.71,1.2,1.9,0.592,0.621,45,0,45
Arron Afflalo,2016-17,31,7.6,1.9,1.1,24.3,1.3,0.1,1.7,0.4,6.4,0.447,2.7,0.92,0.4,0.6,0.504,0.549,38,2.4,23
Alexis Ajinca,2016-17,28,4.3,4.3,0.3,14.1,0.7,0.7,1.7,0,4.1,0.482,1.9,0.714,0.4,0.8,0.465,0.488,21,0.1,10
Cole Aldrich,2016-17,28,2.1,3.2,0.5,10.4,0.5,0.5,1.7,,1.6,0.537,0.9,0.667,0.5,0.3,0.537,0.564,41,0,0
LaMarcus Aldridge,2016-17,31,17.6,7.1,2.3,32.3,4,1,2.3,0.484,13.9,0.503,7,0.823,0.6,1.3,0.515,0.562,41,0.8,41
Lavoy Allen,2016-17,27,1.3,2.3,0.9,11.8,0.2,0.3,1.1,0,1.8,0.322,0.6,0.75,0.2,0.3,0.317,0.346,33,0,0
Tony Allen,2016-17,35,9.8,5.7,1.3,28.2,2.2,0.5,2.7,0.269,8.7,0.491,4.1,0.64,1.8,1.6,0.484,0.508,40,0.7,38
Al-Farouq Aminu,2016-17,26,7.2,7,2.1,28,1.7,0.7,1.8,0.258,7.3,0.425,2.6,0.7,1,1.5,0.408,0.445,29,3.2,23
Chris Andersen,2016-17,38,2.3,2.6,0.4,9.5,1.2,0.6,1.7,0,1.8,0.474,0.8,0.714,0.4,0.4,0.409,0.497,12,0.3,0
Alan Anderson,2016-17,34,3.2,0.9,0.5,11.4,0.6,0,1.3,0.321,3.2,0.37,1.1,0.7,0.1,0.3,0.427,0.455,17,1.6,0
Justin Anderson,2016-17,23,7.2,3.2,0.7,15.4,2,0.4,1.4,0.315,6,0.465,2.4,0.798,0.6,0.8,0.468,0.524,42,2.6,2
Kyle Anderson,2016-17,23,2.9,2.6,1,13.6,0.7,0.4,0.8,0.421,2.4,0.461,1.1,0.846,0.7,0.5,0.495,0.545,40,0.5,11
Ryan Anderson,2016-17,28,13.8,5,0.9,30.4,2.1,0.2,2,0.407,10.8,0.463,4.6,0.896,0.5,0.9,0.555,0.591,46,6.7,46
Giannis Antetokounmpo,2016-17,22,23.5,8.9,5.4,35,7.1,2,3.3,0.281,16.3,0.576,8.6,0.789,1.8,3,0.551,0.607,44,2.6,44
Carmelo Anthony,2016-17,32,22.7,6,3.1,33.6,5.3,0.4,2.7,0.372,18.5,0.466,8.1,0.835,0.9,2,0.494,0.545,46,5.6,46
Joel Anthony,2016-17,34,0,4,0,5,0,0,0,,1,0,0,,0,0,0,0,1,0,0
Trevor Ariza,2016-17,31,12.3,5.4,2.2,34.6,1.3,0.3,1.7,0.372,10.3,0.553,4.4,0.698,1.9,0.9,0.557,0.569,49,7.2,49
Darrell Arthur,2016-17,28,6.7,2.4,1,15.3,0.3,0.4,2.2,0.518,5,0.49,2.5,1,0.3,1,0.643,0.655,21,2.7,5
Omer Asik,2016-17,30,2.8,5.4,0.5,15.9,1.3,0.3,1.6,,2.2,0.477,1,0.59,0.2,0.4,0.477,0.517,30,0,19
D.J. Augustin,2016-17,29,8.6,1.4,3.2,20.3,1.8,0,1.4,0.363,7.2,0.432,2.8,0.864,0.4,1.1,0.494,0.542,46,4,20
Luke Babbitt,2016-17,27,4.5,2.2,0.4,16,0.4,0.2,1.5,0.358,4.4,0.375,1.6,0.692,0.3,0.3,0.481,0.492,37,2.9,24
Ron Baker,2016-17,23,3.4,1.7,1.1,11.3,0.6,0.1,1,0.313,3.3,0.432,1.2,0.75,0.6,0.8,0.449,0.478,21,1.5,3
Wade Baldwin,2016-17,20,3.5,1.4,2.1,13.2,1.4,0.3,1.2,0.111,3.6,0.369,1.1,0.844,0.6,1.3,0.325,0.417,23,0.8,1
Leandro Barbosa,2016-17,34,5.4,1.4,1.2,12.7,0.3,0.1,1,0.431,5,0.47,2.3,0.857,0.4,0.5,0.512,0.524,43,1.2,0
J.J. Barea,2016-17,32,12.2,2.9,4.9,24.7,1.8,0.1,0.7,0.351,10.7,0.466,4.5,0.939,0.5,1.7,0.49,0.53,18,4.1,5
Harrison Barnes,2016-17,24,20.4,5.3,1.5,35.8,3.4,0.3,1.6,0.348,17.4,0.501,8.2,0.859,0.9,1.3,0.504,0.542,46,3,46
Matt Barnes,2016-17,36,7.2,4.8,2.7,24.4,1.2,0.3,2.5,0.323,6.9,0.438,2.6,0.706,0.6,1.5,0.464,0.488,42,3.8,12
Will Barton,2016-17,26,13.5,4.3,3,28.5,3.3,0.4,1.9,0.414,10.5,0.474,4.8,0.764,0.8,1.5,0.522,0.564,33,3.4,17
Brandon Bass,2016-17,31,5.6,2.5,0.5,12.2,1.5,0.2,1,0.5,3.6,0.586,2.1,0.913,0.2,0.7,0.588,0.657,31,0.1,0
Nicolas Batum,2016-17,28,14.8,7.3,5.9,34.6,3.9,0.4,1.6,0.325,12.4,0.442,4.9,0.846,1.1,2.5,0.46,0.521,43,4.9,43
Jerryd Bayless,2016-17,28,11,4,4.3,23.7,3.3,0,1.3,0.4,10.7,0.333,3.7,0.9,0,3,0.375,0.453,3,1.7,1
Aron Baynes,2016-17,30,4.4,3.7,0.3,15.2,1.3,0.4,2.3,,3.3,0.49,1.6,0.879,0.3,0.8,0.49,0.566,44,0,2
Kent Bazemore,2016-17,27,10.8,3.2,2.7,27.1,2.3,0.6,2.3,0.317,10.3,0.427,4,0.71,1.3,1.6,0.445,0.477,44,3.7,41
