Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Aaron Brooks,2017-18,33,MIN,2.6,0.6,0.7,4.7,0.2,0,0.6,0.545,1.9,0.5,0.5,0.1,0.3,12,1,1,0.9,0.5,0.1,0.2,0.4,0.522,0.652,0.649
Aaron Gordon,2017-18,22,ORL,18.3,8,2.2,33.3,4.3,0.8,1.8,0.401,13.1,0.553,0.743,1,1.6,26,26,6.4,5.5,2.2,3.2,1.5,6.5,0.49,0.573,0.608
Abdel Nader,2017-18,24,BOS,1.9,0.8,0.4,7.5,0.1,0.2,0.6,0.316,2.1,0.412,0,0.3,0.4,17,0,0.8,1.1,0.4,0,0.1,0.6,0.361,0.444,0.439
Adreian Payne,2017-18,26,ORL,4.2,1.8,0,8.6,1.2,0,1.2,0.667,2,0.714,0.833,0.4,0.4,5,0,1.4,0.6,0.4,1,0.4,1.4,0.7,0.8,0.831
Al Horford,2017-18,31,BOS,13.9,7.8,5.3,32.6,1.7,1,1.7,0.432,10.7,0.565,0.75,0.6,1.9,35,35,5.6,3.4,1.5,1.3,1.4,6.4,0.523,0.591,0.608
Al Jefferson,2017-18,33,IND,6.5,4.1,0.9,12.5,1,0.6,1.8,0,5.2,0.557,0.833,0.6,0.7,12,0,2.8,0.1,0,0.8,1,3.1,0.548,0.548,0.58
Alec Burks,2017-18,26,UTA,9.9,3.4,1.2,19.3,2.5,0.2,1.3,0.374,8,0.442,0.864,0.9,1,35,0,3.4,2.6,1,2.2,0.4,3.1,0.42,0.48,0.541
Alec Peters,2017-18,22,PHO,1.5,1.5,0,7,0,1,0.5,0.25,2,,,0,0,2,0,0.5,2,0.5,0,0,1.5,0.25,0.375,0.375
Alex Abrines,2017-18,24,OKC,4.7,1.8,0.4,16.4,0.6,0.1,1.9,0.38,3.9,0.421,0.81,0.6,0.5,33,4,1.5,2.8,1.1,0.5,0.3,1.4,0.392,0.527,0.553
Alex Caruso,2017-18,23,LAL,0.6,0.6,0.9,7.9,0,0.1,0.9,,0.9,0.333,,0,0.6,7,0,0.3,0,0,0,0,0.6,0.333,0.333,0.333
Alex Len,2017-18,24,PHO,9.1,9.1,1.4,22.2,3.4,1,2.4,,6,0.54,0.771,0.3,1.5,31,2,3.3,0,0,2.6,3,6.1,0.54,0.54,0.607
Alex Poythress,2017-18,24,IND,0.9,0.7,0.1,4.7,0,0.1,0.7,0.5,0.9,0.333,,0.1,0.2,11,0,0.4,0.4,0.2,0,0.3,0.5,0.4,0.5,0.5
Al-Farouq Aminu,2017-18,27,POR,9.3,7,1.1,29.7,0.8,1,2.1,0.441,7.9,0.385,0.75,0.8,1.1,20,18,3.3,4.7,2.1,0.6,1.2,5.9,0.418,0.547,0.56
Alfonzo McKinnie,2017-18,25,TOR,1.2,0.6,0.1,3.7,0.3,0.1,0.7,0.25,0.8,1,0.667,0.1,0.1,9,0,0.4,0.4,0.1,0.2,0,0.6,0.571,0.643,0.661
Allen Crabbe,2017-18,25,BRK,11.8,4.1,1.5,28.4,1.8,0.2,1.8,0.367,10.1,0.435,0.811,0.6,1.2,30,23,4,6.5,2.4,1.4,0.5,3.7,0.391,0.51,0.539
Amir Johnson,2017-18,30,PHI,4.8,4.9,1.3,15.5,1.3,0.7,2.8,0.214,3.7,0.574,0.59,0.7,1,31,7,2,0.5,0.1,0.7,1.8,3.1,0.53,0.543,0.56
Andre Drummond,2017-18,24,DET,14.2,14.9,3.6,32.4,4.9,1.2,3.3,0,10.3,0.541,0.626,1.4,2.9,33,33,5.5,0.1,0,3.1,4.8,10.1,0.538,0.538,0.568
Andre Iguodala,2017-18,34,GSW,5.8,4.1,3.4,26.4,1.4,0.6,1.3,0.241,5.2,0.535,0.619,0.7,1.1,30,1,2.2,1.9,0.5,0.9,0.9,3.1,0.427,0.471,0.496
Andre Roberson,2017-18,26,OKC,5,4.6,1.2,26.7,0.8,0.9,2.2,0.212,4.2,0.642,0.333,1,0.8,33,33,2.3,1,0.2,0.3,1.9,2.7,0.54,0.565,0.55
Andrew Bogut,2017-18,33,LAL,1.4,3.2,0.7,9.3,0.1,0.6,1.8,,1,0.636,1,0.2,0.8,21,5,0.7,0,0,0.1,1,2.2,0.636,0.636,0.656
Andrew Harrison,2017-18,23,MEM,7.4,2,2.4,20.6,2.5,0.4,2.2,0.308,6.2,0.43,0.795,0.7,1.2,29,19,2.4,2.2,0.7,2,0.5,1.5,0.385,0.441,0.512
Andrew Wiggins,2017-18,22,MIN,17.6,4,1.7,36.6,4.5,0.6,1.9,0.318,15.6,0.473,0.623,1.2,1.7,35,35,6.7,4.3,1.4,2.8,1.1,2.9,0.43,0.474,0.501
Ante Zizic,2017-18,21,CLE,1.2,1.2,0.1,3.5,0.6,0.3,0.4,,1,0.364,0.714,0,0.2,11,1,0.4,0,0,0.5,0.5,0.7,0.364,0.364,0.462
