Player,Season,Age,Points,Rebounds,Assists,Minutes,FTA,Blocks,Fouls,3p%,FGA,2p%,FG,ft%,Steals,Turnovers,All Star
Kareem Abdul-Jabbar,1976-77,29,26.2,13.3,3.9,36.8,6.5,3.2,3.2,,18.7,0.579,10.8,0.701,1.2,,1
Kareem Abdul-Jabbar,1985-86,38,23.4,6.1,3.5,33.3,5.6,1.6,3.1,0,16.9,0.565,9.6,0.765,0.8,2.6,1
Kareem Abdul-Jabbar,1969-70,22,28.8,14.5,4.1,43.1,9.1,,3.5,,22.1,0.518,11.4,0.653,,,1
Kareem Abdul-Jabbar,1978-79,31,23.8,12.8,5.4,39.5,5.9,4,2.9,,16.8,0.577,9.7,0.736,1,3.5,1
Kareem Abdul-Jabbar,1986-87,39,17.5,6.7,2.6,31.3,4.4,1.2,3.1,0.333,12.7,0.565,7.2,0.714,0.6,2.4,1
Kareem Abdul-Jabbar,1970-71,23,31.7,16,3.3,40.1,8.3,,3.2,,22.5,0.577,13,0.69,,,1
Kareem Abdul-Jabbar,1979-80,32,24.8,10.8,4.5,38.3,5.8,3.4,2.6,0,16.9,0.604,10.2,0.765,1,3.6,1
Kareem Abdul-Jabbar,1987-88,40,14.6,6,1.7,28.9,3.4,1.2,2.7,0,11.3,0.532,6,0.762,0.6,2,1
Kareem Abdul-Jabbar,1971-72,24,34.8,16.6,4.6,44.2,9,,2.9,,24.9,0.574,14.3,0.689,,,1
Kareem Abdul-Jabbar,1980-81,33,26.2,10.3,3.4,37.2,6.9,2.9,3.1,0,18.2,0.574,10.5,0.766,0.7,3.1,1
Kareem Abdul-Jabbar,1988-89,41,10.1,4.5,1,22.9,2.2,1.1,2.6,0,8.9,0.477,4.2,0.739,0.5,1.3,1
Kareem Abdul-Jabbar,1972-73,25,30.2,16.1,5,42.8,6.1,,2.7,,23.3,0.554,12.9,0.713,,,1
Kareem Abdul-Jabbar,1981-82,34,23.9,8.7,3,35.2,5.8,2.7,2.9,0,17.1,0.58,9.9,0.706,0.8,3,1
Kareem Abdul-Jabbar,1973-74,26,27,14.5,4.8,43.8,5.2,3.5,2.9,,21.7,0.539,11.7,0.702,1.4,,1
Kareem Abdul-Jabbar,1982-83,35,21.8,7.5,2.5,32.3,4.7,2.2,2.8,0,15.5,0.589,9.1,0.749,0.8,2.5,1
Kareem Abdul-Jabbar,1974-75,27,30,14,4.1,42.3,6.6,3.3,3.2,,24.4,0.513,12.5,0.763,1,,1
Kareem Abdul-Jabbar,1983-84,36,21.5,7.3,2.6,32.8,4.9,1.8,2.6,0,15.5,0.579,9,0.723,0.7,2.8,1
Kareem Abdul-Jabbar,1975-76,28,27.7,16.9,5,41.2,7.8,4.1,3.6,,21.1,0.529,11.1,0.703,1.5,,1
Kareem Abdul-Jabbar,1984-85,37,22,7.9,3.2,33.3,5,2.1,3,0,15.3,0.6,9.2,0.732,0.8,2.5,1
Shareef Abdur-Rahim,2001-02,25,21.2,9,3.1,38.7,6.8,1.1,2.8,0.3,16.8,0.47,7.8,0.801,1.3,3.2,1
Alvan Adams,1975-76,21,19,9.1,5.6,33.2,4.4,1.5,3.4,,16.8,0.469,7.9,0.735,1.5,,1
Michael Adams,1991-92,29,18.1,4,7.6,35.8,4.6,0.1,2.1,0.324,15.8,0.425,6.2,0.869,1.9,2.7,1
Mark Aguirre,1983-84,24,29.5,5.9,4.5,36.7,7.9,0.3,3.1,0.268,22.3,0.532,11.7,0.749,1,3.6,1
Mark Aguirre,1986-87,27,25.7,5.3,3.2,33.3,7,0.4,3,0.353,19.9,0.51,9.8,0.77,1.1,2.7,1
Mark Aguirre,1987-88,28,25.1,5.6,3.6,33.9,6.5,0.7,2.9,0.302,20.4,0.496,9.7,0.77,0.9,2.6,1
Danny Ainge,1987-88,28,15.7,3.1,6.2,37.3,2.2,0.2,2.5,0.415,12.1,0.534,6,0.878,1.4,1.9,1
LaMarcus Aldridge,2011-12,26,21.7,8,2.4,36.3,5,0.8,2.8,0.182,17.1,0.516,8.8,0.814,0.9,2,1
LaMarcus Aldridge,2012-13,27,21.1,9.1,2.6,37.7,4.7,1.2,2.5,0.143,17.8,0.488,8.6,0.81,0.8,1.9,1
LaMarcus Aldridge,2013-14,28,23.2,11.1,2.6,36.2,5.2,1,2.1,0.2,20.6,0.461,9.4,0.822,0.9,1.8,1
LaMarcus Aldridge,2014-15,29,23.4,10.2,1.7,35.4,5.1,1,1.8,0.352,19.9,0.475,9.3,0.845,0.7,1.7,1
Ray Allen,2008-09,33,18.2,3.5,2.8,36.4,3.2,0.2,2,0.409,13.2,0.542,6.3,0.952,0.9,1.7,1
Ray Allen,1999-00,24,22.1,4.4,3.8,37.4,4.9,0.2,2.3,0.423,17.2,0.468,7.8,0.887,1.3,2.2,1
Ray Allen,2000-01,25,22,5.2,4.6,38.2,4.8,0.2,2.3,0.433,16,0.506,7.7,0.888,1.5,2.5,1
Ray Allen,2010-11,35,16.5,3.4,2.7,36.1,2.7,0.2,1.8,0.444,12.2,0.52,6,0.881,1,1.5,1
Ray Allen,2001-02,26,21.8,4.5,3.9,36.6,3.6,0.3,2.3,0.434,16.6,0.485,7.7,0.873,1.3,2.3,1
Ray Allen,2003-04,28,23,5.1,4.8,38.4,4.8,0.2,2.4,0.392,18.2,0.468,8,0.904,1.3,2.8,1
Ray Allen,2004-05,29,23.9,4.4,3.7,39.3,5.5,0.1,2.1,0.376,19.2,0.459,8.2,0.883,1.1,2.2,1
Ray Allen,2005-06,30,25.1,4.3,3.7,38.7,4.6,0.2,1.9,0.412,19.2,0.486,8.7,0.903,1.3,2.4,1
Ray Allen,2006-07,31,26.4,4.5,4.1,40.3,5.6,0.2,2.1,0.372,21,0.479,9.2,0.903,1.5,2.8,1
Ray Allen,2007-08,32,17.4,3.7,3.1,35.9,3.2,0.2,2,0.398,13.5,0.485,6,0.907,0.9,1.7,1
Kenny Anderson,1993-94,23,18.8,3.9,9.6,38.2,5.2,0.2,2.5,0.303,16.8,0.429,7,0.818,1.9,3.2,1
Carmelo Anthony,2012-13,28,28.7,6.9,2.6,37,7.6,0.5,3.1,0.379,22.2,0.476,10,0.83,0.8,2.6,1
Carmelo Anthony,2013-14,29,27.4,8.1,3.1,38.7,7,0.7,2.9,0.402,21.3,0.469,9.6,0.848,1.2,2.6,1
Carmelo Anthony,2014-15,30,24.2,6.6,3.1,35.7,5.9,0.4,2.2,0.341,20.2,0.474,9,0.797,1,2.2,1
Carmelo Anthony,2006-07,22,28.9,6,3.8,38.2,8.7,0.4,3.1,0.268,22.4,0.499,10.6,0.808,1.2,3.6,1
