X,Y,Prob,Low,High,,,Descriptives...,,,,,,,,
37.1,1,0.9986,0.9979,0.9991,,,,,,,,,,,
35.4,1,0.9973,0.9959,0.9981,,,14380 cases have Y=0; 901 cases have Y=1.,,,,,,,,
35,1,0.9968,0.9953,0.9978,,,,,,,,,,,
33.6,1,0.9942,0.9918,0.9959,,, Variable     Avg       SD    ,,,,,,,,
33,1,0.9926,0.9896,0.9947,,,     1        8.4010    6.0654,,,,,,,,
32.9,1,0.9922,0.9892,0.9944,,,,,,,,,,,
32.6,1,0.9912,0.9878,0.9937,,,"Coefficients, Standard Errors, Odds Ratios, and 95% Confidence Limits...",,,,,,,,
32.5,1,0.9908,0.9873,0.9934,,, Variable     Coeff.    StdErr       p          O.R.      Low  --  High,,,,,,,,
32.3,1,0.9901,0.9863,0.9928,,,     1        0.4172    0.0112    0.0000       1.5178    1.4847    1.5516,,,,,,,,
32.1,1,0.9892,0.9852,0.9921,,,Intercept    -8.8760    0.2100    0.0000,,,,,,,,
32,1,0.9887,0.9846,0.9918,,,,,,,,,,,
31.6,1,0.9867,0.982,0.9902,,,,,,,,,,,
31.5,1,0.9862,0.9813,0.9898,,,,,,,,,,,
31.4,1,0.9856,0.9805,0.9893,,,,,,,,,,,
31.4,1,0.9856,0.9805,0.9893,,,,,,,,,,,
31.1,1,0.9837,0.9781,0.9879,,,,,,,,,,,
31.1,1,0.9837,0.9781,0.9879,,,,,,,,,,,
31,1,0.983,0.9773,0.9873,,,,,,,,,,,
31,1,0.983,0.9773,0.9873,,,,,,,Predicted probability of outcome with 95% confidence limits,,,,
30.7,0,0.9808,0.9745,0.9856,,,,,,,,,,,
30.7,1,0.9808,0.9745,0.9856,,,,,,,,,,,
30.7,1,0.9808,0.9745,0.9856,,,,,,,,,,,
30.7,1,0.9808,0.9745,0.9856,,,,,,,,,,,
30.6,1,0.98,0.9735,0.9849,,,,,,,,,,,
30.4,1,0.9783,0.9713,0.9836,,,,,,,,,,,
30.3,1,0.9774,0.9702,0.9828,,,,,,,,,,,
30.3,1,0.9774,0.9702,0.9828,,,,,,,,,,,
30.2,1,0.9764,0.9691,0.9821,,,,,,,,,,,
30.1,1,0.9755,0.9678,0.9813,,,,,,,,,,,
30.1,1,0.9755,0.9678,0.9813,,,,,,,,,,,
30.1,1,0.9755,0.9678,0.9813,,,,,,,,,,,
30,1,0.9744,0.9666,0.9805,,,,,,,,,,,
30,1,0.9744,0.9666,0.9805,,,,,,,,,,,
29.9,1,0.9734,0.9653,0.9796,,,,,,,,,,,
29.9,1,0.9734,0.9653,0.9796,,,,,,,,,,,
29.8,1,0.9723,0.9639,0.9787,,,,,,,,,,,
29.8,1,0.9723,0.9639,0.9787,,,,,,,,,,,
29.8,1,0.9723,0.9639,0.9787,,,,,,,,,,,
29.8,1,0.9723,0.9639,0.9787,,,,,,,,,,,
29.7,1,0.9711,0.9625,0.9778,,,,,,,,,,,
29.7,1,0.9711,0.9625,0.9778,,,,,,,,,,,
29.6,1,0.9699,0.9611,0.9768,,,,,,,,,,,
29.5,1,0.9687,0.9596,0.9758,,,,,,,,,,,
29.4,1,0.9674,0.958,0.9748,,,,,,,,,,,
29.3,1,0.9661,0.9564,0.9737,,,,,,,,,,,
29.3,1,0.9661,0.9564,0.9737,,,,,,,,,,,
29.3,1,0.9661,0.9564,0.9737,,,,,,,,,,,
29.1,1,0.9632,0.9529,0.9713,,,,,,,,,,,
29.1,1,0.9632,0.9529,0.9713,,,,,,,,,,,
29,1,0.9617,0.9511,0.9701,,,,,,,,,,,
29,1,0.9617,0.9511,0.9701,,,,,,,,,,,
28.9,1,0.9601,0.9492,0.9688,,,,,,,,,,,
28.7,1,0.9568,0.9453,0.966,,,,,,,,,,,
28.7,1,0.9568,0.9453,0.966,,,,,,,,,,,
28.7,1,0.9568,0.9453,0.966,,,,,,,,,,,
28.7,1,0.9568,0.9453,0.966,,,,,,,,,,,
28.6,1,0.9551,0.9432,0.9646,,,,,,,,,,,
28.6,1,0.9551,0.9432,0.9646,,,,,,,,,,,
28.6,1,0.9551,0.9432,0.9646,,,,,,,,,,,
28.5,1,0.9532,0.941,0.963,,,,,,,,,,,
28.4,1,0.9514,0.9388,0.9614,,,,,,,,,,,
28.4,1,0.9514,0.9388,0.9614,,,,,,,,,,,
28.4,1,0.9514,0.9388,0.9614,,,,,,,,,,,
28.4,1,0.9514,0.9388,0.9614,,,,,,,,,,,
28.4,1,0.9514,0.9388,0.9614,,,,,,,,,,,
28.3,1,0.9494,0.9365,0.9598,,,,,,,,,,,
28.3,1,0.9494,0.9365,0.9598,,,,,,,,,,,
28.3,1,0.9494,0.9365,0.9598,,,,,,,,,,,
28.2,1,0.9473,0.9341,0.9581,,,,,,,,,,,
28.2,1,0.9473,0.9341,0.9581,,,,,,,,,,,
28.2,1,0.9473,0.9341,0.9581,,,,,,,,,,,
28.1,1,0.9452,0.9316,0.9563,,,,,,,,,,,
28.1,1,0.9452,0.9316,0.9563,,,,,,,,,,,
28.1,1,0.9452,0.9316,0.9563,,,,,,,,,,,
28.1,1,0.9452,0.9316,0.9563,,,,,,,,,,,
28.1,1,0.9452,0.9316,0.9563,,,,,,,,,,,
28,0,0.943,0.929,0.9544,,,,,,,,,,,
28,1,0.943,0.929,0.9544,,,,,,,,,,,
28,1,0.943,0.929,0.9544,,,,,,,,,,,
28,1,0.943,0.929,0.9544,,,,,,,,,,,
28,1,0.943,0.929,0.9544,,,,,,,,,,,
27.9,1,0.9407,0.9263,0.9525,,,,,,,,,,,
27.9,1,0.9407,0.9263,0.9525,,,,,,,,,,,
27.9,1,0.9407,0.9263,0.9525,,,,,,,,,,,
27.8,1,0.9384,0.9236,0.9504,,,,,,,,,,,
27.8,1,0.9384,0.9236,0.9504,,,,,,,,,,,
27.7,1,0.9359,0.9207,0.9483,,,,,,,,,,,
27.7,1,0.9359,0.9207,0.9483,,,,,,,,,,,
27.6,1,0.9334,0.9178,0.9462,,,,,,,,,,,
27.6,1,0.9334,0.9178,0.9462,,,,,,,,,,,
27.6,1,0.9334,0.9178,0.9462,,,,,,,,,,,
27.6,1,0.9334,0.9178,0.9462,,,,,,,,,,,
27.6,1,0.9334,0.9178,0.9462,,,,,,,,,,,
27.5,1,0.9307,0.9147,0.9439,,,,,,,,,,,
27.5,1,0.9307,0.9147,0.9439,,,,,,,,,,,
27.4,0,0.928,0.9116,0.9415,,,,,,,,,,,
27.4,1,0.928,0.9116,0.9415,,,,,,,,,,,
27.4,1,0.928,0.9116,0.9415,,,,,,,,,,,
27.4,1,0.928,0.9116,0.9415,,,,,,,,,,,
27.4,1,0.928,0.9116,0.9415,,,,,,,,,,,
27.3,1,0.9251,0.9083,0.9391,,,,,,,,,,,
27.3,1,0.9251,0.9083,0.9391,,,,,,,,,,,
27.3,1,0.9251,0.9083,0.9391,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.2,1,0.9222,0.905,0.9365,,,,,,,,,,,
27.1,1,0.9192,0.9015,0.9339,,,,,,,,,,,
27.1,1,0.9192,0.9015,0.9339,,,,,,,,,,,
27.1,1,0.9192,0.9015,0.9339,,,,,,,,,,,
27.1,1,0.9192,0.9015,0.9339,,,,,,,,,,,
27,1,0.916,0.8979,0.9311,,,,,,,,,,,
27,1,0.916,0.8979,0.9311,,,,,,,,,,,
