Player,Season,Age,Team,Points,Rebounds,Assists,Mins,FTA,Blocks,Fouls,3p%,FGA,2p%,ft%,Steals,Turnovers,Games,Games Started,FGM,3pa,3pm,ftm,orb,drb,FG%,EFG%,TS%
Kareem Abdul-Jabbar,1980-81,33,LAL,26.2,10.3,3.4,37.2,6.9,2.9,3.1,0,18.2,0.574,0.766,0.7,3.1,80,,10.5,0,0,5.3,2.5,7.8,,0.574,0.616
Tiny Archibald,1980-81,32,BOS,13.8,2.2,7.7,35.3,5.2,0.2,2.5,0,9.6,0.499,0.816,0.9,3.3,80,72,4.8,0.1,0,4.3,0.5,1.8,,0.499,0.582
Larry Bird,1980-81,24,BOS,21.2,10.9,5.5,39.5,4,0.8,2.9,0.27,18.3,0.478,0.863,2,3.5,82,82,8.8,0.9,0.2,3.5,2.3,8.6,,0.485,0.528
Otis Birdsong,1980-81,25,KCK,24.6,3.6,3.3,36.5,6.4,0.3,2.4,0.286,18.4,0.544,0.697,1.3,2.4,71,,10,0.5,0.1,4.5,1.7,2,,0.547,0.58
Adrian Dantley,1980-81,24,UTA,30.7,6.4,4,42.7,9.8,0.2,3.1,0.286,20.3,0.559,0.806,1.4,3.5,80,,11.4,0.1,0,7.9,2.4,4,,0.559,0.622
Walter Davis,1980-81,26,PHO,18,2.6,3.9,28,3.2,0.2,2.5,0.412,14.1,0.539,0.836,1.2,2.8,78,,7.6,0.2,0.1,2.7,0.8,1.8,,0.542,0.579
Julius Erving,1980-81,30,PHI,24.6,8,4.4,35,6.5,1.8,2.8,0.222,18.6,0.521,0.787,2.1,3.2,82,,9.7,0.2,0,5.1,3,5,,0.522,0.572
George Gervin,1980-81,28,SAS,27.1,5.1,3.2,33.7,7.6,0.7,2.6,0.257,21.1,0.492,0.826,1.1,3.1,82,,10.4,0.4,0.1,6.2,1.5,3.6,,0.494,0.555
Artis Gilmore,1980-81,31,CHI,17.9,10.1,2.1,34.5,6.5,2.4,3.6,,10,0.67,0.705,0.6,2.9,82,,6.7,0,0,4.6,2.7,7.4,,0.67,0.699
Dennis Johnson,1980-81,26,PHO,18.8,4.6,3.7,33.1,6.3,0.8,3.1,0.216,15.4,0.436,0.82,1.7,2.6,79,,6.7,0.6,0.1,5.2,2,2.6,,0.441,0.516
Eddie Johnson,1980-81,25,ATL,19.1,2.4,5.4,35.9,4.7,0.1,2.5,0.3,15.1,0.504,0.784,1.7,2.6,75,,7.6,0.3,0.1,3.7,0.8,1.6,,0.507,0.554
Marques Johnson,1980-81,24,MIL,20.3,6.8,4.6,33.4,5,0.5,2.6,0,15.2,0.552,0.706,1.5,2.5,76,,8.4,0.1,0,3.5,3,3.9,,0.552,0.583
Bobby Jones,1980-81,29,PHI,13.5,5.4,2.8,25.3,4.3,0.9,2.8,0,9.3,0.539,0.813,1.2,1.8,81,,5,0,0,3.5,1.8,3.6,,0.539,0.604
Moses Malone,1980-81,25,HOU,27.8,14.8,1.8,40.6,10.1,1.9,2.8,0.333,19.3,0.522,0.757,1,3.9,80,,10.1,0,0,7.6,5.9,8.8,,0.522,0.585
Mike Mitchell,1980-81,25,CLE,24.5,6.1,1.7,39,4.7,0.6,2.4,0.444,21.8,0.476,0.784,0.8,2.1,82,,10.4,0.1,0,3.7,2.6,3.5,,0.477,0.513
Robert Parish,1980-81,27,BOS,18.9,9.5,1.8,28,4.8,2.6,3.8,0,14.2,0.545,0.71,1,2.3,82,78,7.7,0,0,3.4,3,6.5,,0.545,0.579
Micheal Ray Richardson,1980-81,25,NYK,16.4,6.9,7.9,40.2,4.3,0.4,3.3,0.225,14.1,0.469,0.663,2.9,3.8,79,,6.6,1.3,0.3,2.8,2.2,4.7,,0.479,0.511
Truck Robinson,1980-81,29,PHO,18.8,9.6,2.5,37.7,4.8,0.5,2.7,,15.6,0.505,0.629,0.8,3,82,,7.9,0,0,3,2.6,7,,0.505,0.531
Dan Roundfield,1980-81,27,ATL,17.6,10.1,2.6,33.8,5.6,1.9,4.1,0,12.8,0.527,0.721,1.2,2.8,63,,6.8,0,0,4.1,3.7,6.4,,0.527,0.575
Jack Sikma,1980-81,25,SEA,18.7,10.4,3,35.6,5,1.1,3.4,0,16,0.454,0.823,1,2.5,82,,7.3,0.1,0,4.1,2.2,8.1,,0.454,0.512
Reggie Theus,1980-81,23,CHI,18.9,3.5,5.2,34.4,6.7,0.2,3.1,0.2,13.4,0.495,0.809,1.5,3.2,82,,6.6,1.1,0.2,5.4,1.5,2,,0.503,0.578
Paul Westphal,1980-81,30,SEA,16.7,1.9,4.1,29.9,5.1,0.4,1.9,0.24,13.9,0.442,0.832,1.3,2.2,36,,6.1,0.7,0.2,4.3,0.3,1.6,,0.448,0.517
Jamaal Wilkes,1980-81,27,LAL,22.6,5.4,2.9,37.4,4.1,0.4,2.8,0.077,18.5,0.526,0.758,1.5,2.6,81,,9.7,0.2,0,3.1,1.8,3.6,,0.526,0.556
Kareem Abdul-Jabbar,1981-82,34,LAL,23.9,8.7,3,35.2,5.8,2.7,2.9,0,17.1,0.579,0.706,0.8,3,76,76,9.9,0,0,4.1,2.3,6.4,,0.579,0.608
Tiny Archibald,1981-82,33,BOS,12.6,1.7,8,31.9,4.6,0,1.9,0.375,9.6,0.472,0.747,0.8,2.6,68,51,4.5,0.2,0.1,3.5,0.4,1.3,,0.477,0.542
Larry Bird,1981-82,25,BOS,22.9,10.9,5.8,38,4.9,0.9,3.2,0.212,18.4,0.503,0.863,1.9,3.3,77,58,9.2,0.7,0.1,4.3,2.6,8.3,,0.507,0.557
Adrian Dantley,1981-82,25,UTA,30.3,6.3,4,39.8,10.1,0.2,3.1,0.333,19.6,0.57,0.792,1.2,3.7,81,81,11.2,0,0,8,2.9,3.5,,0.57,0.631
Alex English,1981-82,28,DEN,25.4,6.8,5.3,36.8,5.4,1.5,3.2,0,18.9,0.551,0.84,1.1,3.2,82,82,10.4,0.1,0,4.5,2.6,4.2,,0.551,0.596
Julius Erving,1981-82,31,PHI,24.4,6.9,3.9,34.4,6.7,1.7,2.8,0.273,17.6,0.546,0.763,2,2.6,81,81,9.6,0.1,0,5.1,2.7,4.2,,0.547,0.593
George Gervin,1981-82,29,SAS,32.3,5,2.4,35.7,8.1,0.6,2.7,0.278,25.2,0.5,0.864,1,2.7,79,79,12.6,0.5,0.1,7,1.7,3.2,,0.502,0.562
Artis Gilmore,1981-82,32,CHI,18.5,10.2,1.7,34.1,6.7,2.7,3.5,1,10.2,0.652,0.768,0.6,2.8,82,82,6.7,0,0,5.2,2.7,7.5,,0.653,0.702
Dennis Johnson,1981-82,27,PHO,19.5,5.1,4.6,36.7,6.2,0.7,3.2,0.19,15.4,0.47,0.806,1.3,2.9,80,77,7.2,0.5,0.1,5,1.8,3.4,,0.473,0.54
Magic Johnson,1981-82,22,LAL,18.6,9.6,9.5,38.3,5.6,0.4,2.9,0.207,13.3,0.537,0.76,2.7,3.7,78,77,7.1,0.4,0.1,4.2,3.2,6.4,,0.54,0.59
Bobby Jones,1981-82,30,PHI,14.4,5.2,2.5,28.7,4.4,1.5,2.8,0,9.7,0.564,0.79,1.3,1.9,76,73,5.5,0,0,3.5,1.4,3.7,,0.564,0.62
Bernard King,1981-82,25,GSW,23.2,5.9,3.6,36.2,6.3,0.3,3.6,0.2,16.5,0.566,0.705,1,3.4,79,77,9.4,0.1,0,4.5,1.8,4.2,,0.567,0.6
Bob Lanier,1981-82,33,MIL,13.5,5.2,3,26.8,3.3,0.8,2.9,0,9.9,0.558,0.752,1,2.2,74,72,5.5,0,0,2.5,1.2,4,,0.558,0.596
Moses Malone,1981-82,26,HOU,31.1,14.7,1.8,42,10.2,1.5,2.6,0,22.5,0.519,0.762,0.9,3.6,81,81,11.7,0.1,0,7.8,6.9,7.8,,0.519,0.576
Sidney Moncrief,1981-82,24,MIL,19.8,6.7,4.8,37.3,7.2,0.3,2.6,0.071,13.3,0.523,0.817,1.7,2.6,80,80,7,0.2,0,5.9,2.8,3.9,,0.524,0.601
Norm Nixon,1981-82,26,LAL,17.6,2.1,8,36.9,2.7,0.1,3.2,0.25,15.5,0.493,0.808,1.6,2.9,82,82,7.7,0.1,0,2.2,0.5,1.7,,0.494,0.525
Robert Parish,1981-82,28,BOS,19.9,10.8,1.8,31.7,4.4,2.4,3.3,,15.4,0.542,0.71,0.9,2.8,80,78,8.4,0,0,3.2,3.6,7.2,,0.542,0.571
Micheal Ray Richardson,1981-82,26,NYK,17.9,6.9,7,37.1,3.7,0.5,3.9,0.188,16.4,0.461,0.7,2.6,3.5,82,79,7.5,1.2,0.2,2.6,2.2,4.7,,0.468,0.498
Dan Roundfield,1981-82,28,ATL,18.6,11.8,2.7,36.3,6.1,1.5,3.4,0.2,14.9,0.466,0.76,1,3,61,58,7,0.1,0,4.7,3.7,8.1,,0.466,0.527
