Season,Player,Team,Games Played,Minutes per Game,Age,Games Started,Minutes per Game,Player Per Game Field Goals Made,Player Per Game Field Goals Attempted,Player Per Game Field Goal Percentage,Player Per Game 3 Pointers Made,Player Per Game 3 Pointers Attempted,Player Per Game Two Pointers Made,Player Per Game Two Pointers Attempted,Player Per Game Two Pointers Percentage,Player Per Game Effective Field Goal Percentage,Player Per Game Free Throws Made,Player Per Game Free Throws Attempted,Player Per Game Free Throw Percentage,Player Per Game Offensive Rebounds,Player Per Game Defensive Rebounds,Player Per Game Total Rebounds,Player Per Game Assists,Player Per Game Steals,Player Per Game Blocks,Player Per Game Turnovers,Player Per Game Personal Fouls,Player Per Game Points Per Game,Player Per Game 3 Pointers Percentage,Position
2001,Rick Fox,LA Lakers,82,27.9,31,77,27.9,3.5,7.9,.444,1.4,3.7,2.1,4.2,.488,.536,1.2,1.5,.779,1.0,3.0,4.0,3.2,0.9,0.4,1.7,2.7,9.6,.393,SF
2001,Randy Livingston,Golden State,2,3.5,25,0,3.5,0.0,1.0,.000,0.0,0.5,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,.000,PG
2001,Donyell Marshall,Utah,81,28.7,27,49,28.7,5.3,10.5,.503,0.5,1.6,4.8,8.9,.535,.527,2.5,3.4,.751,2.1,4.9,7.0,1.6,1.0,1.0,1.6,2.4,13.6,.320,SF
2001,Mike Miller,Orlando,82,29.1,20,62,29.1,4.5,10.3,.436,1.8,4.4,2.7,5.9,.457,.523,1.1,1.6,.711,0.8,3.2,4.0,1.7,0.6,0.2,1.2,2.4,11.9,.407,SF
2001,Quincy Lewis,Utah,35,11.5,23,2,11.5,1.4,3.5,.407,0.3,0.7,1.2,2.8,.418,.443,0.4,0.6,.714,0.4,0.9,1.3,0.5,0.3,0.3,0.5,2.2,3.5,.360,SF
2001,Andy Panko,Atlanta,1,1.0,23,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,SF
2001,Tim Thomas,Milwaukee,76,27.4,23,16,27.4,4.3,10.0,.430,1.4,3.4,2.9,6.6,.440,.501,2.6,3.3,.771,1.0,3.1,4.1,1.8,1.0,0.6,1.5,2.6,12.6,.412,PF
2001,Bonzi Wells,Portland,75,26.6,24,46,26.6,5.2,9.7,.533,0.2,0.7,4.9,9.0,.547,.545,2.1,3.2,.663,1.6,3.3,4.9,2.8,1.3,0.3,2.3,2.7,12.7,.340,SF
2001,Felton Spencer,New York,18,6.3,33,0,6.3,0.7,1.1,.600,0.0,0.0,0.7,1.1,.600,.600,0.8,1.4,.600,0.9,1.1,1.9,0.1,0.1,0.1,0.6,1.3,2.2,,C
2001,Doug West,Memphis,15,11.4,33,6,11.4,0.7,2.5,.289,0.0,0.1,0.7,2.4,.306,.289,0.4,0.5,.857,0.3,0.7,1.0,0.9,0.2,0.3,0.3,1.4,1.9,.000,SG
2001,Chauncey Billups,Minnesota,77,23.2,24,33,23.2,3.2,7.6,.422,0.9,2.5,2.3,5.1,.445,.485,1.9,2.2,.842,0.4,1.6,2.1,3.4,0.7,0.1,1.4,2.3,9.3,.376,SG
2001,Laron Profit,Washington,35,17.3,23,12,17.3,1.6,4.1,.394,0.2,0.7,1.4,3.3,.422,.419,0.9,1.3,.733,0.5,1.3,1.8,2.5,1.0,0.3,1.3,1.2,4.3,.269,PG
2001,Hersey Hawkins,Charlotte,59,11.5,34,0,11.5,0.9,2.3,.409,0.3,0.8,0.7,1.5,.429,.471,0.9,1.1,.857,0.3,1.1,1.4,1.2,0.6,0.2,0.3,0.8,3.1,.370,SG
2001,Gary Payton,Oklahoma City,79,41.1,32,79,41.1,9.2,20.1,.456,1.3,3.4,7.9,16.7,.472,.488,3.4,4.5,.766,0.9,3.6,4.6,8.1,1.6,0.3,2.6,2.3,23.1,.375,PG
2001,Latrell Sprewell,New York,77,39.2,30,77,39.2,6.8,15.8,.430,0.5,1.8,6.3,14.1,.446,.447,3.6,4.6,.783,0.6,3.9,4.5,3.5,1.4,0.4,2.8,2.1,17.7,.304,SF
2001,Michael Olowokandi,LA,82,25.9,25,82,25.9,3.8,8.6,.435,0.0,0.0,3.8,8.6,.435,.435,1.0,1.9,.545,2.0,4.4,6.4,0.6,0.4,1.3,2.1,3.0,8.5,,C
2001,Vernon Maxwell,Dallas,19,15.0,35,0,15.0,1.6,5.2,.316,0.7,2.5,0.9,2.7,.353,.383,0.3,0.5,.600,0.1,1.5,1.5,1.1,0.5,0.2,0.9,1.6,4.3,.277,PG
2001,Jaren Jackson,San Antonio,16,7.1,33,0,7.1,1.0,2.5,.400,0.4,1.1,0.6,1.4,.409,.488,0.0,0.1,.000,0.1,0.7,0.8,0.4,0.3,0.0,0.2,0.8,2.4,.389,SG
2001,Shawnelle Scott,San Antonio,27,5.3,28,1,5.3,0.6,1.5,.415,0.0,0.0,0.6,1.5,.415,.415,0.3,0.8,.409,0.9,1.0,1.9,0.1,0.2,0.2,0.4,0.9,1.6,,C
2001,Pepe Sanchez,Philadelphia,24,4.8,23,0,4.8,0.4,0.9,.429,0.0,0.0,0.4,0.8,.450,.429,0.1,0.1,1.000,0.1,0.5,0.6,1.5,0.4,0.0,0.1,0.8,0.8,.000,PG
2001,Lorenzen Wright,Atlanta,71,28.0,25,46,28.0,5.1,11.4,.448,0.0,0.0,5.1,11.4,.449,.448,2.2,3.0,.718,2.5,5.0,7.5,1.2,0.6,0.9,1.8,3.3,12.4,.000,C
2001,Terry Porter,San Antonio,80,21.0,37,42,21.0,2.5,5.5,.448,1.1,2.6,1.4,2.9,.468,.547,1.2,1.5,.793,0.3,2.2,2.5,3.1,0.7,0.1,1.3,1.1,7.2,.424,PG
2001,Kevin Edwards,Memphis,46,13.8,35,5,13.8,1.2,3.7,.329,0.1,0.4,1.1,3.3,.338,.344,0.9,1.2,.811,0.5,1.3,1.8,1.1,0.6,0.2,0.8,1.0,3.5,.263,SG
2001,Courtney Alexander,Washington,27,33.7,23,18,33.7,6.6,14.6,.448,0.5,1.3,6.0,13.3,.454,.466,3.3,3.9,.857,0.8,2.1,3.0,1.5,1.1,0.1,2.0,2.3,17.0,.389,PG
2001,Derek Anderson,San Antonio,82,34.9,26,82,34.9,5.0,12.1,.416,1.2,3.1,3.8,9.0,.422,.467,4.2,4.9,.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5,.399,SG
2001,Khalid El-Amin,Chicago,50,18.7,21,14,18.7,2.3,6.2,.370,0.6,1.7,1.7,4.5,.383,.415,1.1,1.4,.778,0.4,1.2,1.6,2.9,1.0,0.0,1.1,2.0,6.3,.333,PG
