Season,Team,Points Per Game,Opponent Points Per Game,Point Differential,Own FG%,Opponent FG%,Own 3p%,Opponent 3p%,FT%,Offensive Rebounds,Defensive Rebounds,Rebounding %,Own Turnovers,Opponent Turnovers,Offensive adjusted field goal %,Offensive ppg,Offensive FGM,Offensive FGA,Offensive 3pm,Offensive 3pa,Offensive FTA,Offensive FTM,Offensive PPS,Opponent adjusted field goal %,Opponent ppg,Opponent FGM,Opponent FGA,Opponent 3pm,Opponent 3pa,Opponent FTA,Opponent FTM,Opponent PPS,Opponent APG,Team APG,Team SPG,Opponent SPG,Team BPG,Opponent BPG,Team TPG,Opponent TPG,Team ATO,Team Techs
2001,Dallas,100.5,96.2,+4.3,.459,.439,.381,.334,.794,.241,.707,.480,13.9,15.5,.498,100.5,37.6,81.9,6.3,16.5,23.8,18.9,1.23,.467,96.2,35.8,81.6,4.6,13.9,27.2,19.9,1.18,21.7,21.2,7.5,7.6,6.0,4.6,13.9,15.5,1.52,93
2001,Philadelphia,94.7,90.4,+4.3,.447,.429,.326,.342,.745,.312,.725,.523,15.8,15.4,.468,94.7,35.4,79.1,3.2,9.8,27.8,20.7,1.20,.460,90.4,35.0,81.7,5.2,15.2,20.2,15.2,1.11,21.6,20.6,8.4,8.2,5.0,5.6,15.8,15.4,1.31,70
2001,Denver,96.6,99.0,-2.4,.433,.446,.355,.356,.737,.283,.718,.498,13.9,13.1,.470,96.6,36.3,83.9,6.2,17.6,24.0,17.7,1.15,.476,99.0,37.6,84.3,5.1,14.2,25.0,18.8,1.17,24.9,24.0,6.7,7.2,6.6,6.1,13.9,13.1,1.73,81
2001,Indiana,92.6,92.8,-0.2,.440,.423,.342,.336,.766,.270,.714,.499,15.2,13.6,.471,92.6,34.5,78.4,4.8,14.1,24.5,18.8,1.18,.452,92.8,34.5,81.5,4.6,13.7,25.3,19.2,1.14,20.7,21.5,6.9,7.2,5.9,4.7,15.2,13.6,1.42,64
2001,Golden State,92.5,101.5,-9.0,.409,.472,.293,.379,.706,.333,.697,.500,15.9,16.4,.429,92.5,35.8,87.5,3.4,11.8,24.7,17.4,1.06,.504,101.5,38.8,82.2,5.4,14.1,24.5,18.6,1.24,24.9,21.8,9.0,8.8,5.0,6.0,15.9,16.4,1.37,52
2001,Phoenix,94.0,91.8,+2.2,.436,.435,.315,.349,.755,.273,.737,.501,15.2,17.5,.460,94.0,35.9,82.4,4.0,12.9,24.1,18.2,1.14,.460,91.8,34.0,78.3,4.0,11.4,25.9,19.7,1.17,20.1,23.2,9.5,8.3,5.2,5.1,15.2,17.5,1.52,85
2001,Sacramento,101.7,95.9,+5.8,.449,.432,.354,.355,.771,.272,.707,.495,14.9,16.3,.484,101.7,38.2,85.0,5.8,16.5,25.3,19.5,1.20,.460,95.9,37.6,87.1,4.9,13.8,21.0,15.7,1.10,22.1,22.6,9.7,8.1,5.3,5.8,14.9,16.3,1.52,62
2001,Chicago,87.6,96.7,-9.1,.424,.472,.346,.356,.739,.266,.703,.476,15.8,14.8,.450,87.6,33.2,78.2,4.0,11.6,23.3,17.2,1.12,.499,96.7,36.4,77.2,4.2,11.9,26.9,19.6,1.25,23.6,22.1,8.2,7.7,4.6,5.2,15.8,14.8,1.40,66
2001,Utah,97.1,92.4,+4.7,.471,.439,.381,.343,.752,.302,.732,.521,15.8,16.1,.497,97.1,36.1,76.7,4.0,10.4,27.8,20.9,1.27,.473,92.4,32.5,74.1,5.0,14.6,29.2,22.3,1.25,19.1,25.7,8.1,8.5,5.6,5.5,15.8,16.1,1.63,109
2001,Brooklyn,92.1,97.1,-5.0,.425,.455,.333,.360,.759,.257,.700,.473,14.7,15.9,.452,92.1,33.9,79.9,4.4,13.2,26.2,19.9,1.15,.488,97.1,35.8,78.7,5.2,14.5,27.2,20.3,1.23,22.4,19.5,7.9,7.5,5.0,6.4,14.7,15.9,1.33,48
