Player,Season,Age,Points,Rebounds,Assists,Minutes,All Star
LaMarcus Aldridge,2011-12,26,21.7,8,2.4,36.3,1
LaMarcus Aldridge,2012-13,27,21.1,9.1,2.6,37.7,1
LaMarcus Aldridge,2013-14,28,23.2,11.1,2.6,36.2,1
LaMarcus Aldridge,2014-15,29,23.4,10.2,1.7,35.4,1
Carmelo Anthony,2006-07,22,28.9,6,3.8,38.2,1
Carmelo Anthony,2007-08,23,25.7,7.4,3.4,36.4,1
Carmelo Anthony,2009-10,25,28.2,6.6,3.2,38.2,1
Carmelo Anthony,2010-11,26,25.6,7.3,2.9,35.7,1
Carmelo Anthony,2011-12,27,22.6,6.3,3.6,34.1,1
Carmelo Anthony,2012-13,28,28.7,6.9,2.6,37,1
Carmelo Anthony,2013-14,29,27.4,8.1,3.1,38.7,1
Carmelo Anthony,2014-15,30,24.2,6.6,3.1,35.7,1
Carlos Boozer,2006-07,25,20.9,11.7,3,34.6,1
Carlos Boozer,2007-08,26,21.1,10.4,2.9,34.9,1
Chris Bosh,2005-06,21,22.5,9.2,2.6,39.3,1
Chris Bosh,2006-07,22,22.6,10.7,2.5,38.5,1
Chris Bosh,2007-08,23,22.3,8.7,2.6,36.2,1
Chris Bosh,2008-09,24,22.7,10,2.5,38,1
Chris Bosh,2009-10,25,24,10.8,2.4,36.1,1
Chris Bosh,2010-11,26,18.7,8.3,1.9,36.3,1
Chris Bosh,2011-12,27,18,7.9,1.8,35.2,1
Chris Bosh,2012-13,28,16.6,6.8,1.7,33.2,1
Chris Bosh,2013-14,29,16.2,6.6,1.1,32,1
Chris Bosh,2014-15,30,21.1,7,2.2,35.4,1
Elton Brand,2001-02,22,18.2,11.6,2.4,37.8,1
Elton Brand,2005-06,26,24.7,10,2.6,39.2,1
Kobe Bryant,1997-98,19,15.4,3.1,2.5,26,1
Kobe Bryant,1999-00,21,22.5,6.3,4.9,38.2,1
Kobe Bryant,2000-01,22,28.5,5.9,5,40.9,1
Kobe Bryant,2001-02,23,25.2,5.5,5.5,38.3,1
Kobe Bryant,2002-03,24,30,6.9,5.9,41.5,1
Kobe Bryant,2003-04,25,24,5.5,5.1,37.6,1
Kobe Bryant,2004-05,26,27.6,5.9,6,40.7,1
Kobe Bryant,2005-06,27,35.4,5.3,4.5,41,1
Kobe Bryant,2006-07,28,31.6,5.7,5.4,40.8,1
Kobe Bryant,2007-08,29,28.3,6.3,5.4,38.9,1
Kobe Bryant,2008-09,30,26.8,5.2,4.9,36.1,1
Kobe Bryant,2009-10,31,27,5.4,5,38.8,1
Kobe Bryant,2010-11,32,25.3,5.1,4.7,33.9,1
Kobe Bryant,2011-12,33,27.9,5.4,4.6,38.5,1
Kobe Bryant,2012-13,34,27.3,5.6,6,38.6,1
Kobe Bryant,2013-14,35,13.8,4.3,6.3,29.5,1
Kobe Bryant,2014-15,36,22.3,5.7,5.6,34.5,1
Caron Butler,2006-07,26,19.1,7.4,3.7,39.3,1
Caron Butler,2007-08,27,20.3,6.7,4.9,39.9,1
Jimmy Butler,2014-15,25,20,5.8,3.3,38.7,1
Andrew Bynum,2011-12,24,18.7,11.8,1.4,35.2,1
Vince Carter,1999-00,23,25.7,5.8,3.9,38.1,1
Vince Carter,2000-01,24,27.6,5.5,3.9,39.7,1
Vince Carter,2001-02,25,24.7,5.2,4,39.8,1
Vince Carter,2002-03,26,20.6,4.4,3.3,34.2,1
Vince Carter,2003-04,27,22.5,4.8,4.8,38.2,1
Vince Carter,2004-05,28,24.5,5.2,4.2,36.7,1
Vince Carter,2005-06,29,24.2,5.8,4.3,36.8,1
Vince Carter,2006-07,30,25.2,6,4.8,38.1,1
Tyson Chandler,2012-13,30,10.4,10.7,0.9,32.8,1
Al Horford,2009-10,23,14.2,9.9,2.3,35.1,1
Al Horford,2010-11,24,15.3,9.3,3.5,35.1,1
Al Horford,2014-15,28,15.2,7.2,3.2,30.5,1
Amar'e Stoudemire,2004-05,22,26,8.9,1.6,36.1,1
