Player,Season,Age,Points,Rebounds,Assists,Minutes,FTA,Blocks,Fouls,3p%,FGA,2p%,FG,ft%,Steals,Turnovers,All Star,,,
Quincy Acy,2012-13,22,4,2.7,0.4,11.8,1.3,0.5,1.8,0.5,2.6,0.562,1.4,0.816,0.4,0.6,0,,Quincy Acy2012-13,LaMarcus Aldridge2011-12
Quincy Acy,2013-14,23,2.7,3.4,0.4,13.4,0.8,0.4,1.9,0.267,2.2,0.492,1,0.66,0.4,0.5,0,,Quincy Acy2013-14,LaMarcus Aldridge2012-13
Quincy Acy,2014-15,24,5.9,4.4,1,18.9,1.4,0.3,2.2,0.3,4.9,0.494,2.2,0.784,0.4,0.9,0,,Quincy Acy2014-15,LaMarcus Aldridge2013-14
Quincy Acy,2015-16,25,3.7,2.9,0.4,11.5,0.8,0.3,1.3,0.455,2.6,0.567,1.4,0.727,0.4,0.3,0,,Quincy Acy2015-16,LaMarcus Aldridge2014-15
Jordan Adams,2014-15,20,3.1,0.9,0.5,8.3,0.8,0.2,0.8,0.4,2.9,0.41,1.2,0.609,0.5,0.5,0,,Jordan Adams2014-15,Carmelo Anthony2010-11
Jordan Adams,2015-16,21,3.5,1,1.5,7.5,2.5,0,1,0,3,0.4,1,0.6,1.5,1,0,,Jordan Adams2015-16,Carmelo Anthony2011-12
Steven Adams,2013-14,20,3.3,4.1,0.5,14.8,1.7,0.7,2.5,,2.3,0.503,1.1,0.581,0.5,0.9,0,,Steven Adams2013-14,Carmelo Anthony2012-13
Steven Adams,2014-15,21,7.7,7.5,0.9,25.3,2.9,1.2,3.2,0,5.7,0.547,3.1,0.502,0.5,1.4,0,,Steven Adams2014-15,Carmelo Anthony2013-14
Steven Adams,2015-16,22,7.1,6.3,0.7,24.8,2.4,1.1,2.8,,4.8,0.586,2.8,0.61,0.4,0.9,0,,Steven Adams2015-16,Carmelo Anthony2014-15
Jeff Adrien,2010-11,24,2.5,2.5,0.4,8.5,0.8,0.2,1.2,,2.3,0.426,1,0.579,0.2,0.4,0,,Jeff Adrien2010-11,Carmelo Anthony2006-07
Jeff Adrien,2011-12,25,2.6,2.8,0.1,7.9,1.5,0.3,1.6,,2,0.438,0.9,0.583,0,0.3,0,,Jeff Adrien2011-12,Carmelo Anthony2007-08
Jeff Adrien,2012-13,26,4,3.8,0.7,13.7,1.9,0.5,1.5,0,3.2,0.434,1.4,0.65,0.3,0.6,0,,Jeff Adrien2012-13,Carmelo Anthony2009-10
Jeff Adrien,2013-14,27,6.8,5.8,0.7,18.1,2.2,0.7,2,,5.2,0.52,2.7,0.639,0.5,0.7,0,,Jeff Adrien2013-14,Carlos Boozer2006-07
Jeff Adrien,2014-15,28,3.5,4.5,0.9,12.6,2.2,0.5,1.8,,2.6,0.432,1.1,0.579,0.2,0.5,0,,Jeff Adrien2014-15,Carlos Boozer2007-08
