W-L%,PTS,SOS,Season
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
0.714,71.2,6.85,2015-16
W-L%,PTS,SOS,Season
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
0.897,64.2,9.87,2014-15* FN
W-L%,PTS,SOS,Season
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
0.743,67.4,8.48,2013-14*
W-L%,PTS,SOS,Season
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
0.833,65.3,9.54,2012-13*
W-L%,PTS,SOS,Season
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
0.794,68.6,8.4,2011-12*
W-L%,PTS,SOS,Season
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
0.865,64.7,8.32,2010-11* T
W-L%,PTS,SOS,Season
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
0.875,61,9.21,2009-10* RTFN
W-L%,PTS,SOS,Season
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
0.811,65.9,9.07,2008-09* T
W-L%,PTS,SOS,Season
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
0.824,69.4,9.28,2007-08*
W-L%,PTS,SOS,Season
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
0.667,62,10.49,2006-07*
W-L%,PTS,SOS,Season
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
0.889,68.1,8.77,2005-06* RT
W-L%,PTS,SOS,Season
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
0.818,65.2,10.04,2004-05* T
W-L%,PTS,SOS,Season
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
0.838,65,10.86,2003-04* RF
W-L%,PTS,SOS,Season
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
0.788,69.6,8.38,2002-03* T
W-L%,PTS,SOS,Season
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
0.886,69.2,9.16,2001-02* T
