STATION,STATION_NAME,ELEVATION,DATE,PRCP,TMAX,TMIN,TOBS,YEAR,MONTH,DAY,MEDIAN
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160415,0.2,33,19,24,2016,4,15,26
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160414,1.3,40,22,23,2016,4,14,31
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160413,0.4,44,34,39,2016,4,13,39
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160412,0,51,36,41,2016,4,12,43.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160411,0,48,35,40,2016,4,11,41.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160410,0,48,35,36,2016,4,10,41.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160409,0,48,37,37,2016,4,9,42.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160408,0,55,40,42,2016,4,8,47.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160407,0,54,38,44,2016,4,7,46
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160406,0.1,47,27,40,2016,4,6,37
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160405,0,38,27,30,2016,4,5,32.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160404,0,53,33,33,2016,4,4,43
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160403,0,50,34,40,2016,4,3,42
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160402,0,45,28,35,2016,4,2,36.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160401,0.5,42,22,29,2016,4,1,32
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160331,0.2,38,23,26,2016,3,31,30.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160330,0.2,33,18,25,2016,3,30,25.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160329,0.4,32,20,20,2016,3,29,26
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160328,0.3,34,26,27,2016,3,28,30
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160327,0,42,22,33,2016,3,27,32
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160326,0,34,15,24,2016,3,26,24.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160325,0,29,18,18,2016,3,25,23.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160324,0,36,23,27,2016,3,24,29.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160323,0.6,30,18,24,2016,3,23,24
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160322,0.7,38,19,19,2016,3,22,28.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160321,0,44,37,38,2016,3,21,40.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160320,0,50,33,43,2016,3,20,41.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160319,0,43,27,34,2016,3,19,35
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160318,0,33,20,31,2016,3,18,26.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160317,0,35,22,24,2016,3,17,28.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160316,0.3,32,18,28,2016,3,16,25
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160315,0.6,23,15,18,2016,3,15,19
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160314,0.4,32,17,17,2016,3,14,24.5
GHCND:USS0011J42S,Snowbird UT US,2938.3,20160313,0.1,44,29,31,2016,3,13,36.5
